metabolite,source_cell,sink_cell,exchange_axis,predictor,beta,p_value,significant,r_squared
glucyala,PEC,IC,PEC→IC,fibrosis,-18.86701009364292,0.175781991917637,False,0.6923565125598764
glucyala,PEC,IC,PEC→IC,age,-9.57133520178327,0.6794870008145003,False,0.6923565125598764
glucyala,PEC,IC,PEC→IC,sex_num,112.2161806563289,0.8266195887294989,False,0.6923565125598764
glucyala,PEC,IC,PEC→IC,is_DKD,707.3706277246738,0.40180872300858184,False,0.6923565125598764
glucyala,PEC,IC,PEC→IC,is_HKD,1633.4168925724978,0.05642146663191138,False,0.6923565125598764
gluampn,Podo,Endo_G,Podo→Endo_G,eGFR,-8.146114560761912,0.8877559161991274,False,0.369512010998192
gluampn,Podo,Endo_G,Podo→Endo_G,fibrosis,-40.28960894621299,0.27196005739328555,False,0.369512010998192
gluampn,Podo,Endo_G,Podo→Endo_G,age,-83.39144304524278,0.2065520503061321,False,0.369512010998192
gluampn,Podo,Endo_G,Podo→Endo_G,sex_num,1209.1089759565712,0.39387140649396246,False,0.369512010998192
gluampn,Podo,Endo_G,Podo→Endo_G,is_DKD,-332.02616656974556,0.8809656265371888,False,0.369512010998192
gluampn,Podo,Endo_G,Podo→Endo_G,is_HKD,113.1711870748228,0.9548816956708368,False,0.369512010998192
ac,PT_S3,C_TAL,PT_S3→C_TAL,eGFR,-4.35841123348175,0.48010426605873013,False,0.6829245128438992
ac,PT_S3,C_TAL,PT_S3→C_TAL,fibrosis,-7.5385199772447615,0.07123696963804986,False,0.6829245128438992
ac,PT_S3,C_TAL,PT_S3→C_TAL,age,-9.492545812451278,0.17506205576442588,False,0.6829245128438992
ac,PT_S3,C_TAL,PT_S3→C_TAL,sex_num,140.5334768930507,0.34817096853361107,False,0.6829245128438992
ac,PT_S3,C_TAL,PT_S3→C_TAL,is_DKD,169.8498885589012,0.47400400531735754,False,0.6829245128438992
ac,PT_S3,C_TAL,PT_S3→C_TAL,is_HKD,443.8914938269953,0.06466906883803705,False,0.6829245128438992
succ,iPT,C_TAL,iPT→C_TAL,eGFR,22.002401814792947,0.6186407143758248,False,0.28471701542970573
succ,iPT,C_TAL,iPT→C_TAL,fibrosis,-14.416722559218602,0.5916785351925267,False,0.28471701542970573
succ,iPT,C_TAL,iPT→C_TAL,age,-30.283167220354862,0.5268795722817812,False,0.28471701542970573
succ,iPT,C_TAL,iPT→C_TAL,sex_num,-1460.7176862774322,0.19158695649008203,False,0.28471701542970573
succ,iPT,C_TAL,iPT→C_TAL,is_DKD,836.0657721686822,0.6223699281315329,False,0.28471701542970573
succ,iPT,C_TAL,iPT→C_TAL,is_HKD,969.4788209296532,0.5294195654233204,False,0.28471701542970573
